ID DISTRIBUIDORA;PERIODO;CONJUNTO;COD CONJUNTO;NUMERO UCS;DECTOT;FECTOT;DECXP;FECXP;DECXN;FECXN;DECIP;FECIP;DECIND;FECIND;DECINE;FECINE;DECINC;FECINC;DECINO;FECINO;DECIPC;FECIPC;DECXPC;FECXPC;DECXNC;FECXNC
5160;Março/2023;São Sebastião;16841;29.943;1,08;1,20;0,00;0,00;0,00;0,00;0,00;0,03;1,08;1,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Paranoa;16842;49.102;0,47;0,16;0,00;0,00;0,00;0,00;0,07;0,01;0,40;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;AEROPORTO S1;14855;22.729;0,77;0,26;0,00;0,00;0,00;0,00;0,01;0,00;0,72;0,25;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;AEROPORTO S2;14856;18.749;0,58;0,56;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,49;0,18;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;AEROPORTO S3;14857;19.927;0,24;0,12;0,00;0,00;0,00;0,00;0,02;0,01;0,14;0,06;0,08;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;AGUAS LINDAS DE GOIAS S1;14858;67.764;0,42;0,31;0,00;0,00;0,00;0,00;0,02;0,01;0,29;0,24;0,11;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;AGUAS LINDAS DE GOIAS S2;14859;27.456;2,70;1,48;0,00;0,00;0,00;0,00;0,01;0,00;1,62;0,94;0,99;0,45;0,08;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ALEXANIA;14860;28.372;2,85;0,88;0,00;0,00;0,00;0,00;0,16;0,03;1,65;0,38;1,04;0,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ALTO BURITI;14861;5.007;1,04;0,58;0,00;0,00;0,00;0,00;0,00;0,00;0,64;0,53;0,40;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ANAPOLIS UNIVERSITARIO S1;14862;24.471;1,65;0,38;0,00;0,00;0,00;0,00;0,02;0,01;0,33;0,09;0,68;0,14;0,62;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ANAPOLIS UNIVERSITARIO S2;14863;87.255;1,29;0,69;0,00;0,00;0,00;0,00;0,06;0,03;0,91;0,47;0,32;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ANHANGUERA;14864;31.941;1,72;0,68;0,00;0,00;0,00;0,00;0,07;0,04;1,09;0,42;0,56;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ANICUNS;14865;17.965;2,42;1,82;0,00;0,00;0,00;0,00;0,04;0,02;1,64;1,62;0,74;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
